aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
0.05,12.08,0.04,0.51,0.03,0.03,0.02,0.06,1.43,0.0,0.75,0.166,13.05,0.76,0.006,0.39,1.41,0.08,0.08,0.07,0.0
0.09,22.02,0.01,0.5,0.05,0.01,0.07,1.54,0.47,0.67,0.67,0.042,0.85,0.4,0.008,0.06,0.39,0.1,0.08,0.08,0.0
0.01,3.72,0.21,1.84,0.12,6.12,0.89,0.05,1.43,0.72,0.72,0.037,5.31,1.52,0.003,44.17,2.69,0.09,0.49,0.0,0.0
0.55,9.47,0.001,1.31,0.006,4.58,0.43,0.55,0.96,0.11,0.001,0.131,18.8,1.79,0.007,11.1,5.62,0.08,0.08,0.06,1.0
0.03,26.0,0.01,1.47,0.004,2.77,0.24,0.66,0.55,0.38,0.005,0.16,3.15,1.61,0.008,13.88,7.56,0.02,0.47,0.06,0.0
0.04,7.4,0.1,0.14,0.08,0.23,0.03,0.01,1.28,0.0,0.0,0.144,2.44,2.17,0.002,0.53,1.87,0.02,0.09,0.07,0.0
1.87,12.36,0.08,2.62,0.08,4.09,0.87,1.76,0.4,0.27,0.0,0.152,14.32,1.82,0.008,30.93,7.87,0.04,0.39,0.09,0.0
0.07,19.69,0.01,0.56,0.05,0.01,0.03,1.93,0.23,0.42,0.006,0.195,14.53,0.45,0.001,2.02,0.59,0.09,0.03,0.08,0.0
0.38,25.22,0.05,1.8,0.09,3.05,0.24,0.31,1.1,0.0,0.005,0.072,3.88,1.87,0.008,23.92,7.32,0.02,0.12,0.09,0.0
4.0,3.23,0.73,3.16,0.06,6.7,0.28,1.49,0.65,1.0,1.0,0.092,7.14,1.76,0.002,33.97,2.71,0.04,0.35,0.04,0.0
4.01,21.89,0.8,2.34,0.12,7.76,0.3,0.43,0.9,0.0,0.79,0.199,2.11,1.84,0.001,47.81,7.79,0.09,0.1,0.03,0.0
3.48,3.44,0.04,0.38,0.002,4.77,0.19,1.77,1.43,0.97,0.97,0.118,2.17,1.03,0.002,28.76,7.36,0.03,0.1,0.0,1.0
0.05,1.64,0.04,0.57,0.05,0.19,0.04,0.07,1.25,0.0,0.0,0.048,0.57,2.05,0.008,0.43,1.0,0.08,0.09,0.03,0.0
0.07,27.2,0.0,0.89,0.0,0.02,0.01,1.69,0.98,0.0,0.004,0.181,6.11,0.61,0.008,2.56,0.64,0.07,0.03,0.01,0.0
0.09,13.08,0.05,3.26,0.01,4.9,0.33,0.73,0.68,0.0,0.0,0.053,17.75,2.72,0.008,11.06,6.6,0.1,0.06,0.04,0.0
0.02,9.25,0.07,0.74,0.04,0.21,0.08,0.86,1.29,0.39,0.005,0.016,11.34,1.39,0.008,4.12,3.58,0.01,0.07,0.04,0.0
3.86,8.03,0.27,4.18,0.0,2.71,0.05,0.06,0.74,0.0,0.0,0.075,4.94,1.27,0.003,54.85,7.35,0.05,0.36,0.0,0.0
0.9,28.92,0.34,1.27,0.12,6.17,0.36,1.18,1.1,0.38,0.005,0.044,6.91,1.46,0.006,44.08,2.27,0.06,0.24,0.0,0.0
0.06,2.2,0.04,1.46,0.1,0.07,0.01,0.56,1.29,0.64,0.64,0.18,3.9,2.09,0.008,1.96,0.32,0.09,0.09,0.09,0.0
1.95,28.75,0.25,4.02,0.1,5.25,0.22,0.51,0.07,0.0,0.006,0.075,8.08,1.47,0.001,48.89,3.74,0.06,0.27,0.01,0.0
1.43,20.48,0.99,1.38,0.07,5.41,0.2,0.78,1.5,0.0,0.0,0.004,7.47,1.87,0.002,22.16,7.77,0.09,0.42,0.02,0.0
3.31,22.07,0.03,0.46,0.044026716572018586,7.22,0.73,1.05,0.7720247100353,0.25,0.007,0.109,1.92,1.07,0.001,39.4,0.49,0.04,0.47,0.05,1.0
0.1,26.15,0.02,0.16,0.06,0.15,0.04,1.54,1.14,0.0,0.0,0.136,8.36,1.5,0.008,1.46,0.01,0.04,0.02,0.02,0.0
4.43,7.86,0.58,1.69,0.06,3.69,0.1,1.32,0.87,0.0,0.61,0.174,12.98,1.41,0.009,56.07,2.6,0.06,0.05,0.09,0.0
3.71,15.18,0.03,2.54,0.044026716572018586,0.0,0.54,0.59,0.54,0.31,0.001,0.124,17.62,1.1,0.002,15.977809548453875,7.03,0.03,0.08,0.0,1.0
0.04,16.36,0.05,0.14,0.07,0.09,0.07,1.64,1.43,0.16,0.009,0.075,13.81,1.03,0.002,0.16,0.96,0.0,0.06,0.02,0.0
2.51,24.22,0.69,2.2,0.1,1.46,0.06,0.68,0.01,0.95,0.95,0.006,1.59,1.58,0.01,38.59,6.59,0.04,0.46,0.08,0.0
0.1,15.08,0.02,0.55,0.04,0.03,0.07,0.31,0.74,0.0,0.001,0.016,14.29,0.25,0.005,3.35,0.87,0.03,0.08,0.05,0.0
0.65,24.48,0.66,1.31,0.01,3.54,0.77,1.45,0.98,0.0,0.0,0.167,14.84,1.89,0.004,30.43,4.99,0.08,0.25,0.08,0.0
1.12,8.38,0.01,2.2,0.001,7.38,0.3,1.71,0.03,0.6,0.6,0.193,10.52,1.25,0.003,34.99,1.75,0.01,0.04,0.04,1.0
0.08,4.51,0.08,0.32,0.0,0.56,0.1,0.93,0.2,0.51,0.51,0.105,6.13,1.74,0.002,3.54,0.74,0.04,0.02,0.05,0.0
4.49,3.08,0.01,3.28,0.002,7.43,0.29,1.67,0.47,0.54,0.54,0.141,4.94,1.64,0.006,45.28,0.8,0.04,0.4,0.03,1.0
3.1,22.33,0.27,1.54,0.02,6.03,0.86,1.72,0.81,0.0,0.0,0.15,3.5,1.87,0.004,41.09,7.27,0.02,0.24,0.05,0.0
0.09,5.7,0.05,0.71,0.05,0.04,0.08,0.5,1.34,0.22,0.003,0.095,1.9,1.35,0.001,0.62,3.21,0.01,0.1,0.07,0.0
0.01,27.94,0.08,0.54,0.03,0.04,0.04,0.77,0.46,0.19,0.001,0.059,13.37,1.68,0.005,1.14,0.81,0.01,0.04,0.03,0.0
0.03,8.13,0.07,1.37,0.07,0.16,0.04,1.76,0.4,0.0,0.0,0.152,13.93,1.79,0.008,5.2,5.6,0.04,0.05,0.09,0.0
0.37,12.36,1.02,2.49,0.1,6.62,0.8,1.8,1.46,0.31,0.004,0.113,10.29,1.24,0.006,19.71,3.95,0.09,0.44,0.07,0.0
0.0,9.8,0.9,2.08,0.04,5.92,0.57,0.03,0.95,0.33,0.006,0.072,3.55,2.08,0.002,27.82,4.53,0.02,0.11,0.02,0.0
0.08,1.73,0.07,1.89,0.07,0.09,0.06,1.33,1.0,0.0,0.005,0.152,17.0,0.08,0.006,2.94,1.23,0.07,0.09,0.06,0.0
0.05,23.14,0.1,0.29,0.08,0.06,0.04,1.18,0.07,0.0,0.77,0.042,17.31,0.81,0.009,12.95,0.92,0.05,0.1,0.06,0.0
0.01,23.5,0.69,3.37,0.0,6.54,0.9,0.8,0.63,0.48,0.007,0.112,10.64,1.66,0.001,20.92,2.24,0.03,0.3,0.05,0.0
0.04,13.68,0.08,0.64,0.0,0.08,0.04,0.76,0.47,0.74,0.74,0.175,12.89,0.04,0.005,0.31,2.07,0.07,0.03,0.07,0.0
0.03,11.02,0.09,0.87,0.08,0.3,0.05,0.04,0.65,0.0,0.51,0.023,16.27,0.4,0.006,3.02,3.34,0.03,0.06,0.03,0.0
0.02,26.58,0.04,0.37,0.08,0.67,0.07,1.63,0.67,0.0,0.008,0.143,6.34,0.45,0.008,0.34,2.8,0.02,0.03,0.03,0.0
0.05,9.17,0.04,0.38,0.0,0.47,0.01,0.68,0.79,0.23,0.002,0.014,6.83,1.32,0.009,0.62,1.57,0.01,0.02,0.02,0.0
0.06,10.52,0.03,0.94,0.01,0.01,0.02,1.45,0.89,0.21,0.002,0.177,15.35,1.24,0.004,1.21,0.33,0.01,0.06,0.03,0.0
2.24,21.76,0.03,1.1,0.008,5.12,0.13,1.68,0.76,0.78,0.78,0.163,5.33,1.75,0.002,30.09,4.05,0.03,0.12,0.08,1.0
0.03,25.08,0.21,0.93,0.04,5.16,0.86,0.08,0.52,0.62,0.62,0.022,13.28,1.97,0.003,15.67,7.79,0.04,0.43,0.01,0.0
0.18,16.82,0.02,0.79,0.004,1.56,0.48,0.7,0.85,0.0,0.0,0.124,13.16,1.09,0.001,52.76,5.17,0.08,0.04,0.05,0.0
0.0,20.04,0.04,3.7,0.01,0.07,0.01,1.17,0.27,0.0,0.0,0.013,18.24,2.05,0.001,9.57,2.8,0.02,0.0,0.08,0.0
1.51,0.14,0.02,0.06,0.044026716572018586,5.71,0.88,1.71,0.7720247100353,0.27,0.002,0.103,16.16,1.25,0.006,17.24,2.3,0.07,0.0,0.0,1.0
0.08,29.72,0.48,2.85,0.02,1.01,0.79,0.06,0.63,0.99,0.99,0.005,15.02,1.99,0.01,15.37,7.59,0.0,0.44,0.06,0.0
0.07,23.34,0.07,0.58,0.06,0.04,0.1,1.5,0.63,0.74,0.74,0.152,8.08,0.72,0.005,1.77,4.14,0.07,0.07,0.02,0.0
0.05,26.02,0.1,0.62,0.06,0.16,0.04,1.62,1.48,0.99,0.99,0.162,1.6,1.38,0.003,10.4,6.19,0.02,0.05,0.04,0.0
0.06,17.08,0.08,1.23,0.0,0.59,0.02,1.24,0.92,0.42,0.006,0.172,6.13,1.06,0.004,4.25,0.73,0.08,0.02,0.01,0.0
0.07,11.32,0.03,0.89,0.0,0.37,0.08,0.92,1.2,0.2,0.002,0.01,18.55,1.93,0.002,1.81,2.43,0.01,0.02,0.04,0.0
0.09,19.26,0.01,0.76,0.08,0.06,0.08,0.0,1.15,0.0,0.5,0.099,17.42,0.15,0.006,6.64,0.46,0.02,0.03,0.02,0.0
0.05,8.8,0.09,2.63,0.1,0.15,0.03,0.03,1.29,0.0,0.005,0.016,11.34,0.11,0.008,4.42,0.87,0.01,0.09,0.04,0.0
0.08,3.5,0.08,1.74,0.02,0.27,0.0,0.19,0.29,0.0,0.0,0.099,12.6,1.27,0.004,4.73,2.4,0.06,0.08,0.07,0.0
4.78,2.05,0.03,2.38,0.008,1.9,0.79,0.51,0.91,0.0,0.0,0.041,13.57,1.46,0.005,41.91,6.38,0.02,0.34,0.07,1.0
0.08,5.45,0.03,0.87,0.03,0.27,0.02,1.07,1.35,0.39,0.003,0.113,14.48,1.42,0.003,2.87,0.19,0.06,0.0,0.04,0.0
0.09,19.54,0.7,4.0,0.11,6.69,0.6,0.79,0.32,0.64,0.64,0.044,1.08,1.45,0.001,20.06,7.8,0.08,0.16,0.05,0.0
0.06,12.54,0.03,1.97,0.02,0.3,0.04,0.67,1.26,0.0,0.0,0.105,19.37,1.71,0.0,1.07,0.16,0.08,0.05,0.02,0.0
0.05,19.13,0.05,0.58,0.07,0.31,0.05,0.0,0.86,0.0,0.005,0.197,13.65,0.89,0.001,6.23,4.36,0.08,0.01,0.07,0.0
3.01,3.44,0.01,1.81,0.002,4.62,0.61,0.87,1.14,0.79,0.79,0.102,4.87,1.53,0.006,47.83,4.25,0.1,0.27,0.03,1.0
0.07,16.52,0.16,2.0,0.0,5.79,0.16,0.36,0.55,0.03,0.005,0.19,0.68,2.12,0.007,28.62,3.71,0.06,0.13,0.04,0.0
0.09,22.72,0.09,0.68,0.04,0.07,0.08,0.07,1.37,0.09,0.008,0.042,11.36,0.49,0.001,7.65,0.33,0.07,0.02,0.02,0.0
0.01,25.84,0.07,0.67,0.02,0.04,0.0,0.37,1.29,0.0,0.62,0.122,12.49,0.86,0.007,0.5,0.14,0.04,0.0,0.08,0.0
0.06,21.75,0.04,1.29,0.007,4.49,0.08,1.65,0.03,0.17,0.001,0.067,5.56,1.64,0.001,7.0,2.73,0.03,0.19,0.0,0.0
0.34,16.82,0.05,2.3,0.002,1.51,0.12,1.05,0.86,0.0,0.0,0.113,0.23,1.48,0.01,27.45,7.65,0.08,0.19,0.03,1.0
4.36,24.53,0.24,1.06,0.04,7.41,0.52,1.83,0.77,0.0,0.67,0.089,11.99,1.19,0.001,5.93,4.3,0.1,0.16,0.07,0.0
0.04,9.64,0.37,0.43,0.09,4.62,0.66,0.03,0.56,0.43,0.002,0.001,15.82,1.39,0.003,59.57,3.36,0.05,0.04,0.08,0.0
0.01,6.38,0.06,1.0,0.07,0.0,0.06,0.1,0.8,0.0,0.002,0.148,17.6,0.18,0.002,0.3,1.89,0.06,0.02,0.01,0.0
2.06,12.22,0.04,1.81,0.001,2.16,0.55,0.56,1.29,0.64,0.64,0.18,3.01,1.2,0.008,15.977809548453875,0.3,0.09,0.01,0.09,0.0
0.01,4.78,0.05,0.02,0.02,0.08,0.04,0.05,0.76,0.0,0.004,0.128,14.66,0.5,0.002,0.31,0.59,0.05,0.09,0.02,0.0
0.05,27.99,0.05,2.28,0.1,0.48,0.0,1.23,1.48,0.57,0.57,0.106,6.4,1.03,0.005,1.25,4.36,0.09,0.02,0.04,0.0
0.18,1.26,0.33,4.15,0.07,3.56,0.03,1.39,1.12,0.1,0.001,0.108,9.43,1.63,0.009,50.01,4.39,0.02,0.11,0.07,0.0
0.09,3.76,0.04,2.24,0.006,0.51,0.4,0.69,0.14,0.44,0.008,0.155,5.88,1.33,0.01,32.51,1.05,0.02,0.43,0.02,0.0
0.06,24.8,0.05,0.54,0.06,0.06,0.08,0.31,1.1,0.06,0.005,0.072,3.36,1.74,0.008,0.99,2.85,0.02,0.09,0.09,0.0
1.46,12.01,0.03,0.63,0.005,2.28,0.1,1.51,1.33,0.0,0.0,0.004,18.29,1.93,0.001,43.88,5.77,0.08,0.08,0.04,0.0
0.05,8.68,0.03,0.4,0.08,0.1,0.03,0.05,0.14,0.0,0.004,0.069,8.43,0.15,0.007,2.63,1.03,0.08,0.05,0.09,0.0
0.02,8.99,0.08,0.1,0.0,0.01,0.04,0.99,1.12,0.02,0.006,0.004,17.01,0.61,0.007,1.24,0.8,0.02,0.05,0.01,0.0
0.01,21.58,0.04,2.9,0.006,5.65,0.08,0.35,1.43,0.71,0.71,0.061,17.79,1.04,0.004,6.89,2.9,0.05,0.46,0.03,0.0
0.35,0.65,0.04,0.7,0.007,1.83,0.56,1.59,0.13,0.17,0.0,0.076,9.75,1.21,0.01,5.67,1.45,0.05,0.12,0.02,0.0
0.01,1.52,0.04,0.96,0.04,0.02,0.06,1.06,1.08,0.15,0.001,0.189,7.48,2.2,0.007,0.38,0.87,0.1,0.08,0.0,0.0
2.76,9.25,0.02,0.2,0.009,1.9,0.7,1.33,0.71,0.0,0.0,0.014,7.64,1.55,0.006,34.35,6.67,0.01,0.16,0.02,1.0
0.1,8.65,0.0,2.5,0.04,0.02,0.05,0.7,0.32,0.65,0.65,0.168,2.43,1.16,0.003,0.31,0.81,0.09,0.1,0.01,0.0
0.1,0.51,0.09,0.34,0.07,0.04,0.08,1.94,1.49,0.15,0.001,0.114,10.9,0.73,0.007,2.04,0.45,0.04,0.05,0.09,0.0
1.14,1.97,0.31,3.45,0.1,3.44,0.25,0.39,0.76,0.0,0.004,0.082,15.67,1.92,0.01,3.35,2.82,0.02,0.45,0.01,0.0
0.12,14.69,0.49,3.89,0.13,6.09,0.68,1.3,0.5,0.1,0.008,0.036,2.2,2.13,0.008,3.66,0.86,0.01,0.19,0.02,0.0
0.09,27.67,0.0,0.55,0.04,0.06,0.05,0.8,0.91,0.15,0.008,0.05,9.95,1.19,0.005,7.08,5.52,0.09,0.0,0.01,0.0
4.07,12.35,0.03,1.92,0.001,3.65,0.33,0.48,1.36,0.73,0.73,0.164,14.61,1.22,0.008,52.9,0.93,0.06,0.12,0.02,0.0
0.08,10.52,0.0,0.63,0.04,0.01,0.08,0.06,1.46,0.0,0.0,0.136,17.03,1.67,0.007,0.36,5.67,0.06,0.04,0.08,0.0
0.08,7.23,0.03,1.46,0.007,3.61,0.26,1.86,0.42,0.15,0.003,0.115,5.58,1.97,0.005,17.72,6.36,0.06,0.27,0.06,0.0
0.07,26.26,0.01,0.18,0.004,2.14,0.08,1.81,0.92,0.7,0.7,0.018,0.35,1.7,0.008,2.59,4.98,0.03,0.3,0.01,0.0
2.03,25.53,0.03,2.76,0.003,7.92,0.51,0.93,0.62,0.0,0.0,0.198,8.62,1.2,0.001,57.17,4.0,0.06,0.11,0.0,0.0
0.1,21.96,0.04,0.84,0.002,0.1,0.76,0.17,0.58,0.52,0.52,0.011,18.4,1.49,0.009,21.52,1.3,0.08,0.48,0.08,0.0
1.34,12.27,0.02,1.37,0.004,4.13,0.1,1.73,0.8,0.0,0.0,0.174,16.88,1.45,0.006,28.73,6.87,0.05,0.13,0.07,1.0
0.09,11.84,0.06,0.48,0.07,0.02,0.04,0.03,0.93,0.62,0.62,0.05,19.16,0.59,0.001,1.08,2.67,0.06,0.03,0.02,0.0
0.07,23.31,0.58,1.91,0.01,6.84,0.43,1.83,1.03,0.48,0.009,0.137,10.48,2.2,0.002,44.5,1.08,0.06,0.27,0.02,0.0
0.04,26.39,0.07,0.44,0.03,0.15,0.06,0.08,0.33,0.0,0.89,0.048,12.51,0.47,0.006,0.4,1.37,0.06,0.09,0.08,0.0
0.04,1.91,0.2,2.38,0.12,0.42,0.24,1.52,0.76,0.57,0.57,0.155,8.71,2.07,0.002,37.34,3.04,0.1,0.2,0.08,0.0
3.06,12.15,0.24,1.69,0.12,1.49,0.46,0.62,0.88,0.0,0.002,0.167,9.41,1.54,0.008,13.79,3.46,0.1,0.23,0.04,0.0
0.02,13.08,0.01,0.23,0.07,0.65,0.08,0.96,1.41,0.0,0.0,0.13,11.99,1.83,0.001,6.17,3.16,0.01,0.07,0.03,0.0
0.04,4.54,0.03,0.24,0.08,0.12,0.03,0.81,1.27,0.53,0.53,0.057,17.36,2.01,0.005,0.25,0.08,0.07,0.01,0.01,0.0
4.85,11.43,0.01,1.04,0.001,6.81,0.87,0.92,1.2,0.2,0.002,0.01,18.55,1.93,0.002,22.43,4.58,0.01,0.2,0.04,1.0
4.41,26.41,0.01,0.39,0.004,7.55,0.33,1.34,1.43,0.37,0.007,0.152,13.18,1.66,0.005,15.977809548453875,2.52,0.05,0.23,0.03,0.0
2.22,29.68,0.03,2.86,0.044026716572018586,4.54,0.72,0.14,1.42,1.0,1.0,0.082,11.3,1.46,0.006,15.977809548453875,4.96,0.0,0.16,0.05,0.0
0.16,6.48,0.96,3.54,0.09,2.19,0.53,1.05,1.26,0.03,0.003,0.079,9.57,1.8,0.004,15.24,1.67,0.01,0.12,0.09,0.0
0.06,4.92,0.01,0.19,0.04,0.49,0.03,0.07,1.19,0.0,0.61,0.164,16.9,0.01,0.001,0.9,0.64,0.0,0.02,0.01,0.0
2.21,14.63,0.61,2.78,0.01,1.13,0.29,0.76,0.47,0.74,0.74,0.175,13.54,1.82,0.005,34.83,4.45,0.07,0.19,0.07,0.0
0.09,8.03,0.03,0.04,0.04,0.06,0.09,0.69,1.32,0.62,0.62,0.103,13.78,1.51,0.01,2.11,1.68,0.06,0.1,0.0,0.0
1.66,27.51,0.89,2.27,0.09,6.77,0.83,1.58,1.21,0.73,0.73,0.104,4.68,1.24,0.009,52.2,1.0,0.1,0.12,0.01,0.0
0.03,12.01,0.04,0.05,0.04,0.11,0.06,0.09,1.29,0.0,0.64,0.18,3.01,0.32,0.008,10.26,0.18,0.09,0.06,0.09,0.0
0.1,27.79,0.03,0.76,0.09,0.27,0.1,0.01,0.43,0.0,0.007,0.033,6.24,0.34,0.001,6.56,1.59,0.01,0.09,0.05,1.0
0.05,1.44,0.07,0.62,0.06,0.15,0.06,1.37,0.62,0.92,0.92,0.112,8.13,1.6,0.007,8.28,1.26,0.05,0.05,0.05,0.0
1.23,20.25,0.09,1.97,0.02,5.41,0.74,1.76,0.61,0.53,0.53,0.105,9.01,2.03,0.007,13.95,2.76,0.02,0.44,0.07,0.0
0.09,14.25,0.02,1.53,0.003,7.34,0.5,0.18,0.16,0.51,0.51,0.173,7.23,1.57,0.006,59.19,5.21,0.08,0.28,0.07,0.0
0.01,0.0,0.04,0.01,0.07,0.16,0.08,0.16,0.87,0.67,0.67,0.18,12.15,1.89,0.003,0.54,0.41,0.07,0.06,0.01,0.0
2.96,5.09,0.93,2.76,0.03,5.26,0.33,0.72,0.42,0.0,0.0,0.07,13.04,1.89,0.005,50.23,3.49,0.0,0.38,0.03,0.0
3.38,18.93,0.01,2.22,0.044026716572018586,0.97,0.18,0.46,1.43,0.43,0.003,0.08,17.54,1.47,0.005,15.977809548453875,2.01,0.02,0.25,0.06,0.0
0.05,11.88,0.81,4.39,0.11,6.43,0.58,0.08,0.04,0.46,0.002,0.089,8.25,1.89,0.0,16.64,1.66,0.06,0.33,0.05,0.0
0.06,2.56,0.92,1.88,0.04,4.25,0.28,0.08,0.06,0.75,0.75,0.001,1.58,2.19,0.009,38.32,0.75,0.04,0.1,0.05,0.0
0.01,9.21,0.84,3.19,0.12,0.91,0.73,1.49,1.45,0.42,0.009,0.159,3.31,1.36,0.001,4.38,5.52,0.04,0.39,0.0,0.0
0.02,19.64,0.03,2.18,0.09,0.56,0.04,1.23,0.35,0.89,0.89,0.12,18.25,0.42,0.01,3.18,0.24,0.07,0.01,0.03,0.0
0.08,7.82,0.03,1.04,0.03,0.58,0.1,0.59,0.4,0.88,0.88,0.097,11.77,1.18,0.01,9.83,0.76,0.05,0.01,0.03,0.0
0.01,18.97,0.04,1.47,0.006,1.78,0.03,1.34,0.26,0.07,0.008,0.113,1.51,1.4,0.01,49.53,2.73,0.09,0.11,0.04,0.0
0.84,22.29,0.84,2.1,0.09,3.43,0.19,1.54,0.47,0.67,0.67,0.042,1.2,1.86,0.008,10.72,2.28,0.1,0.35,0.08,0.0
1.7,4.86,0.41,1.07,0.07,3.49,0.82,1.93,0.45,0.0,0.63,0.124,4.21,1.93,0.007,51.38,5.9,0.05,0.45,0.02,0.0
3.74,17.45,0.78,2.04,0.02,4.3,0.62,0.59,0.05,0.0,0.001,0.001,7.41,1.12,0.008,56.41,4.77,0.04,0.43,0.08,0.0
0.08,5.74,0.02,0.52,0.01,0.04,0.02,0.42,0.71,0.0,0.0,0.079,1.13,2.02,0.005,6.2,0.46,0.05,0.04,0.01,0.0
0.0,17.6,0.08,2.78,0.04,0.49,0.0,1.94,0.8,0.32,0.004,0.124,13.09,1.56,0.01,5.8,0.85,0.01,0.02,0.04,0.0
0.15,24.16,0.04,3.44,0.004,1.88,0.15,0.82,0.1,0.79,0.79,0.044,14.21,1.72,0.005,25.68,7.56,0.04,0.33,0.03,0.0
0.07,8.27,0.09,2.1,0.05,0.18,0.08,1.53,1.04,0.08,0.001,0.064,13.72,1.99,0.007,7.18,0.76,0.0,0.07,0.08,0.0
0.02,7.28,0.08,0.09,0.04,0.08,0.06,0.05,1.37,0.94,0.94,0.151,8.35,1.19,0.0,13.01,0.78,0.07,0.07,0.03,0.0
0.02,9.95,0.01,2.68,0.08,0.04,0.07,0.75,0.2,0.0,0.0,0.104,5.7,2.29,0.006,7.66,4.95,0.03,0.05,0.08,0.0
0.03,24.93,0.01,2.46,0.09,0.07,0.06,0.04,1.41,0.08,0.006,0.049,9.64,0.46,0.006,7.25,0.76,0.03,0.1,0.0,0.0
0.08,22.7,0.05,0.61,0.09,0.03,0.04,0.61,1.46,0.84,0.84,0.136,16.56,1.62,0.007,7.88,0.1,0.06,0.07,0.08,0.0
0.05,25.84,0.01,3.04,0.002,2.78,0.72,0.46,1.41,0.08,0.006,0.049,9.64,1.43,0.006,36.57,4.55,0.03,0.19,0.0,0.0
0.09,6.51,0.03,0.98,0.0,0.24,0.06,0.01,0.83,0.0,0.001,0.152,13.29,0.96,0.005,3.42,3.0,0.08,0.01,0.09,0.0
4.64,3.34,0.22,2.87,0.08,5.49,0.37,1.2,1.45,0.49,0.001,0.091,14.45,1.88,0.001,27.82,2.07,0.04,0.5,0.09,0.0
0.03,26.93,0.04,0.26,0.06,0.31,0.04,0.07,0.96,0.0,0.001,0.021,14.05,0.3,0.005,0.17,0.87,0.01,0.07,0.01,0.0
4.62,25.74,0.84,3.99,0.01,3.09,0.72,0.46,1.41,0.0,0.0,0.049,9.77,1.5,0.006,24.68,4.55,0.03,0.19,0.0,0.0
0.07,27.15,0.07,1.93,0.01,0.57,0.01,0.03,0.2,0.0,0.69,0.104,5.13,0.35,0.006,2.61,2.87,0.03,0.02,0.08,0.0
3.11,17.7,0.001,3.35,0.001,1.4,0.29,1.38,1.48,0.0,0.0,0.08,17.96,1.98,0.002,28.45,3.93,0.07,0.31,0.08,0.0
2.68,9.02,0.04,3.98,0.044026716572018586,0.22,0.09,0.54,0.7720247100353,0.27,0.004,0.069,8.43,1.84,0.007,21.79,2.91,0.08,0.43,0.09,1.0
0.03,10.06,0.05,0.75,0.008,6.43,0.19,0.39,1.35,1.0,1.0,0.158,0.9,1.34,0.009,41.53,4.71,0.01,0.22,0.07,0.0
0.09,20.72,0.0,0.46,0.1,0.04,0.08,0.75,1.25,0.28,0.002,0.083,15.32,1.01,0.005,1.17,2.57,0.05,0.02,0.04,0.0
0.02,28.37,0.04,0.71,0.09,0.13,0.09,0.05,1.28,0.0,0.77,0.144,2.06,0.16,0.002,2.36,0.34,0.02,0.05,0.07,0.0
0.08,3.22,0.01,0.65,0.008,0.9,0.83,1.08,0.15,0.23,0.007,0.184,2.67,1.21,0.001,13.9,4.86,0.0,0.21,0.05,0.0
4.2,18.97,0.8,2.53,0.12,4.64,0.84,0.85,1.01,0.0,0.0,0.045,2.8,1.36,0.005,36.11,4.14,0.01,0.02,0.01,1.0
0.09,26.63,0.21,0.65,0.04,1.14,0.9,0.07,0.26,0.55,0.55,0.001,2.13,1.28,0.008,17.79,1.34,0.03,0.19,0.05,0.0
0.18,1.62,0.78,3.09,0.08,0.96,0.25,0.31,1.29,0.0,0.56,0.026,17.15,1.78,0.002,55.59,0.98,0.02,0.21,0.08,0.0
0.07,0.97,0.04,0.36,0.001,0.81,0.05,0.8,0.36,0.64,0.64,0.087,6.88,1.07,0.01,0.33,2.58,0.03,0.06,0.08,0.0
0.02,2.65,0.06,0.89,0.04,0.39,0.04,0.96,0.02,0.63,0.63,0.042,11.36,1.96,0.009,4.06,5.56,0.09,0.07,0.04,0.0
0.02,0.01,0.05,0.31,0.09,0.59,0.04,0.08,0.38,0.38,0.006,0.16,15.48,0.53,0.007,0.47,0.8,0.07,0.0,0.04,0.0
0.03,20.38,0.04,3.53,0.002,2.13,0.41,0.79,0.59,0.49,0.007,0.024,3.34,1.67,0.002,42.0,6.25,0.06,0.35,0.09,0.0
0.89,23.24,0.03,3.35,0.044026716572018586,0.8,0.26,0.5,0.85,0.44,0.004,0.034,3.82,1.2,0.007,15.977809548453875,3.23,0.09,0.03,0.02,1.0
0.0,14.63,0.06,0.22,0.03,0.11,0.03,0.98,0.23,0.93,0.93,0.164,5.03,1.49,0.007,6.86,0.16,0.06,0.04,0.05,0.0
0.01,11.08,0.54,0.98,0.07,1.93,0.61,0.84,0.55,0.78,0.78,0.118,5.93,1.72,0.003,19.41,2.44,0.04,0.04,0.07,0.0
3.74,14.2,0.001,1.6,0.005,2.71,0.13,0.15,1.1,0.5,0.5,0.194,4.53,1.49,0.0,13.59,4.78,0.05,0.05,0.02,1.0
0.07,6.36,0.04,0.43,0.09,0.1,0.02,1.78,0.33,0.22,0.0,0.061,1.87,1.37,0.01,3.33,3.87,0.01,0.05,0.02,0.0
0.09,5.41,0.05,0.17,0.06,0.19,0.07,0.85,0.24,0.49,0.001,0.021,11.5,1.48,0.004,0.82,0.21,0.02,0.02,0.05,0.0
0.06,23.95,0.05,1.29,0.0,0.17,0.09,0.92,1.09,0.75,0.75,0.085,6.03,1.33,0.009,1.8,0.88,0.05,0.0,0.01,0.0
